1.0,8.0
2.0,6.0
3.0,20.0
4.0,9.0
5.0,11.0
6.0,16.0
7.0,17.0
8.0,18.0
9.0,16.0
10.0,6.0
11.0,16.0
12.0,35.0
13.0,13.0
14.0,4.0
15.0,5.0
16.0,10.0
17.0,3.0
18.0,15.0
19.0,9.0
20.0,14.0
21.0,18.0
22.0,13.0
23.0,30.0
24.0,8.0
25.0,16.0
26.0,15.0
27.0,4.0
28.0,21.0
29.0,45.0
30.0,63.0
31.0,13.0
32.0,3.0
33.0,8.0
34.0,4.0
35.0,9.0
36.0,5.0
37.0,6.0
38.0,3.0
39.0,2.0
40.0,9.0
41.0,10.0
42.0,5.0
43.0,6.0
44.0,5.0
45.0,5.0
46.0,15.0
47.0,10.0
48.0,4.0
49.0,28.0
50.0,15.0
51.0,5.0
52.0,3.0
53.0,6.0
54.0,12.0
55.0,6.0
56.0,4.0
57.0,3.0
58.0,7.0
59.0,6.0
60.0,5.0
61.0,34.0
62.0,9.0
63.0,3.0
64.0,3.0
65.0,18.0
66.0,5.0
67.0,3.0
68.0,19.0
69.0,8.0
70.0,6.0
71.0,38.0
72.0,123.0
73.0,7.0
74.0,7.0
75.0,22.0
76.0,11.0
77.0,4.0
78.0,178.0
79.0,121.0
80.0,19.0
81.0,11.0
82.0,93.0
83.0,8.0
84.0,38.0
85.0,13.0
86.0,147.0
87.0,11.0
88.0,3.0
89.0,9.0
90.0,28.0
91.0,8.0
92.0,24.0
93.0,10.0
94.0,4.0
95.0,8.0
96.0,38.0
97.0,59.0
98.0,313.0
99.0,24.0
100.0,6.0
101.0,102.0
102.0,136.0
103.0,14.0
104.0,8.0
105.0,4.0
106.0,6.0
107.0,18.0
108.0,28.0
109.0,62.0
110.0,5.0
111.0,15.0
112.0,5.0
113.0,45.0
114.0,22.0
115.0,6.0
116.0,8.0
117.0,8.0
118.0,15.0
119.0,8.0
120.0,21.0
121.0,10.0
122.0,98.0
123.0,41.0
124.0,5.0
125.0,4.0
126.0,2.0
127.0,4.0
128.0,14.0
129.0,9.0
130.0,11.0
131.0,6.0
132.0,52.0
133.0,9.0
134.0,8.0
135.0,4.0
136.0,6.0
137.0,68.0
138.0,55.0
139.0,13.0
140.0,25.0
141.0,20.0
142.0,20.0
143.0,28.0
144.0,33.0
145.0,23.0
146.0,7.0
147.0,4.0
148.0,7.0
149.0,9.0
150.0,5.0
151.0,5.0
152.0,6.0
153.0,5.0
154.0,47.0
155.0,24.0
156.0,6.0
157.0,11.0
158.0,5.0
159.0,11.0
160.0,11.0
161.0,21.0
162.0,70.0
163.0,18.0
164.0,11.0
165.0,10.0
166.0,8.0
167.0,5.0
168.0,5.0
169.0,5.0
170.0,5.0
171.0,5.0
172.0,5.0
173.0,13.0
174.0,14.0
175.0,7.0
176.0,5.0
177.0,6.0
178.0,13.0
179.0,16.0
180.0,6.0
181.0,11.0
182.0,5.0
183.0,11.0
184.0,9.0
185.0,6.0
186.0,8.0
187.0,9.0
188.0,9.0
189.0,15.0
190.0,9.0
191.0,14.0
192.0,14.0
193.0,8.0
194.0,4.0
195.0,4.0
196.0,9.0
197.0,8.0
198.0,12.0
199.0,98.0
200.0,21.0
201.0,14.0
202.0,11.0
203.0,7.0
204.0,5.0
205.0,16.0
206.0,21.0
207.0,15.0
208.0,14.0
209.0,3.0
210.0,5.0
211.0,13.0
212.0,15.0
213.0,13.0
214.0,11.0
215.0,11.0
